video_id,publish_date,title,views,length,channel
Y-hFxnxncPk,2024-02-02,Pinning Hopes on a Demonstrated Loser | Richard D. Wolff,43218,2707,https://www.youtube.com/@dialogueworks01
pWhVQ6S5k0w,2024-02-24,"Ukraine Losing, Russia Winning, Neocons Endless Defeats - Tucker's interview | Richard D. Wolff",98225,3468,https://www.youtube.com/@dialogueworks01
p-4AfhNuBv8,2024-03-06,NATO's Hunger to Lose - George Galloway's Win - Nuland's Resignation | Richard D. Wolff,231351,3790,https://www.youtube.com/@dialogueworks01
hzIft13pASY,2024-04-02,NATO's Terrible Miscalculations as Ukraine is Being Destroyed | Richard D. Wolff,167764,2410,https://www.youtube.com/@dialogueworks01
SLpXztByenU,2024-04-10,Israel is Caught in a Historic Impossibility and Its Economy is in Trouble | Richard D. Wolff,372259,3144,https://www.youtube.com/@dialogueworks01
zy2pInARtPY,2024-05-03,Israel is Echoing Historical Failures | Richard D. Wolff,61396,3142,https://www.youtube.com/@dialogueworks01
nrPiSm2AZ54,2024-05-15,"Ukraine Collapsing, Russia-China Alliance Tightens, NATO in Decline | Richard D. Wolff",117696,3226,https://www.youtube.com/@dialogueworks01
I6eq1mIXIAA,2024-05-23,The End of Financial Colonialism | Richard D. Wolff and Michael Hudson,181390,4668,https://www.youtube.com/@dialogueworks01
WqwK3xdZe1A,2024-06-08,Why is the Russian Economy Not Being Destroyed? | Richard D. Wolff,60212,2714,https://www.youtube.com/@dialogueworks01
84tD1Nc2Pro,2024-06-21,"West's Colossal Failure: Peace Summit in Switzerland, US Decline, Rise of BRICS | Richard D. Wolff",170050,1958,https://www.youtube.com/@dialogueworks01
HslaRexxK8c,2024-06-24,"Israel is Losing Significantly, and It's Only Getting Worse | Richard D. Wolff",72141,2311,https://www.youtube.com/@dialogueworks01
KiJVq6toD6Q,2024-07-02,Brutal Signs of a Collapsing Empire | Richard D. Wolff,89957,3752,https://www.youtube.com/@dialogueworks01
xJMbCi3cmQI,2024-07-14,Russia & China Unite to Form New World Order – Step-by-Step Breakdown! | Richard D. Wolff,65855,3141,https://www.youtube.com/@dialogueworks01
FSA6l97_g8k,2024-08-01,Richard D. Wolff & Michael Hudson: The Shocking Truth Behind the End of Financial Colonialism!,85050,4120,https://www.youtube.com/@dialogueworks01
MA86WdIgAN8,2024-08-16,Richard D. Wolff & Michael Hudson: US Empire's Decline & Massive Economic Shifts!,105990,3849,https://www.youtube.com/@dialogueworks01
EfQwhM610Io,2024-08-29,Richard D. Wolff & Michael Hudson: Russia Unveils New Crypto Exchanges? - Economic War,49981,4352,https://www.youtube.com/@dialogueworks01
e5Ed7b1-LnY,2024-09-05,Richard D. Wolff & Michael Hudson: Is the US Rapidly Approaching Bankruptcy?,202960,5427,https://www.youtube.com/@dialogueworks01
vU1uxkZUFb0,2024-09-11,Richard D. Wolff & Michael Hudson: Is US Policy Saving the Dollar or Destroying It?,72496,5133,https://www.youtube.com/@dialogueworks01
JUSLmO_OU1o,2024-09-21,Richard D. Wolff: Is a Peaceful Multipolar World Even Possible Without Massive Wars?,60673,3469,https://www.youtube.com/@dialogueworks01
aOmUcBU2a8s,2024-09-26,"Richard D. Wolff & Michael Hudson: How the US United China, Russia, and Iran: A Global Power Shift!",95166,4090,https://www.youtube.com/@dialogueworks01
LXDz1PdMWao,2024-10-03,"Richard D. Wolff & Michael Hudson: Middle East Exploding, Ukraine Crumbling! the US Take Action?",156541,4544,https://www.youtube.com/@dialogueworks01
G9wi2b3nSqY,2024-10-09,Richard D. Wolff & Michael Hudson: Israel's End-Game Under Netanyahu,97729,3607,https://www.youtube.com/@dialogueworks01
Uz5-PtkUw9s,2024-10-17,Richard D. Wolff & Michael Hudson | How the U.S. Took Over the World: The End of International Law!,157853,5431,https://www.youtube.com/@dialogueworks01
fsX_z9nzRao,2024-10-24,"Richard D. Wolff & Michael Hudson | BRICS Shocker: Russia, China & Iran Ready to Face Off w/ the US!",145575,5434,https://www.youtube.com/@dialogueworks01
FW0fFJJSsW8,2024-10-31,Richard D. Wolff & Michael Hudson: US Next President Faces IMPOSSIBLE ODDS: Middle East & Ukraine,101406,4765,https://www.youtube.com/@dialogueworks01
i7iGPm0vloA,2024-11-07,Richard D. Wolff & Michael Hudson: Trump Returns! Empire in Decline!,112268,5882,https://www.youtube.com/@dialogueworks01
_igKkNlIc9c,2024-11-14,Richard D. Wolff & Michael Hudson: America's Collapse: Economy & Endless Wars!,61011,4202,https://www.youtube.com/@dialogueworks01
jQkNAQQoTxw,2024-11-21,"Richard D. Wolff & Michael Hudson: ICC Arrest Warrants Issued for Netanyahu,Ukraine escalations, G20",61561,4485,https://www.youtube.com/@dialogueworks01
wl8sBSx5lpI,2024-11-27,Richard D. Wolff & Michael Hudson: Is the West Blind to What's Really Happening?,70958,3506,https://www.youtube.com/@dialogueworks01
luneM5PCQvE,2024-12-05,Richard D. Wolff & Michael Hudson: The US Empire in Collapse as Sanctions are Getting More USELESS!,56791,4240,https://www.youtube.com/@dialogueworks01
ke9UvCezqIo,2024-12-12,Richard D. Wolff & Michael Hudson: The Desperation of America's Empire at Its Peak!,81261,4231,https://www.youtube.com/@dialogueworks01
6c7qW8g73-M,2024-12-19,Richard D. Wolff & Michael Hudson: The US Empire Facing Devastating Defeat,74132,4059,https://www.youtube.com/@dialogueworks01
Q8rzdW0qOTI,2024-12-26,Richard D. Wolff: The US Empire's Struggle for Survival: A Desperate Crossroad,92291,3845,https://www.youtube.com/@dialogueworks01
EdO_UVNh8fQ,2025-01-16,Economic Roundtable w/ Richard D. Wolff & Michael Hudson: On the Brink of Major Economic Turmoil?,72280,4238,https://www.youtube.com/@dialogueworks01
GnCMXP04dg4,2025-01-23,Richard D. Wolff & Michael Hudson: How the US Can Handle Eurasia's Rise,41747,3908,https://www.youtube.com/@dialogueworks01
os25VsKEFyw,2025-01-30,Richard D. Wolff & Michael Hudson: Israel's Dead End - US Empire's Collapse: Losing Touch w/ Reality,67531,4033,https://www.youtube.com/@dialogueworks01
w--fsqQQQa0,2025-02-06,Economic Roundtable w/ Richard D. Wolff & Michael Hudson - Trump & Gaza - USAID,55319,3466,https://www.youtube.com/@dialogueworks01
sHruEgdXyOA,2025-02-09,"Trump’s Greater Israel Plan EXPOSED, Why It Will Fail | Richard D Wolff, Chas Freeman & Scott Ritter",131132,1430,https://www.youtube.com/@dialogueworks01
CgJyH1Mo1j4,2025-02-10,"Richard D. Wolff and Michael Hudson on the US Empire COLLAPSING – Europe Trapped, BRICS Emerging!",129667,1834,https://www.youtube.com/@dialogueworks01
0lD_UrtPVpA,2025-02-13,Richard D. Wolff & Michael Hudson: The U.S. Empire Is Crumbling Before Our Eyes – Here’s the Proof!,60789,3879,https://www.youtube.com/@dialogueworks01
kHbTFWnn3PI,2025-02-20,Richard D. Wolff & Michael Hudson: America’s Fall?! Trump PANICS as BRICS Destroys U.S. Dominance!,71087,3744,https://www.youtube.com/@dialogueworks01
iS1HQq-29cU,2025-02-27,Richard D. Wolff & Michael Hudson: Trump’s Economic Plan Failing?,49928,4521,https://www.youtube.com/@dialogueworks01
pHOJ2ASlu80,2025-03-06,Richard D. Wolff & Michael Hudson on The EU Has LOST its Mind,96005,3529,https://www.youtube.com/@dialogueworks01
Mg-BLqEn0_g,2025-03-13,Richard D. Wolff & Michael Hudson on Trump: Clinging to a Fantasy? Stock Market in Decline!,56125,3501,https://www.youtube.com/@dialogueworks01
e3qLvgyRSKc,2025-03-16,This is the Background Music of a Collapsing Empire | Richard D. Wolff and Michael Hudson,130836,1602,https://www.youtube.com/@dialogueworks01
EoKauxJNofA,2025-03-20,Richard D. Wolff and Michael Hudson on Where Is the US Economy Headed?,77806,4229,https://www.youtube.com/@dialogueworks01
Q3psU2nfuNo,2025-03-27,Richard D. Wolff and Michael Hudson: Russia Has No Choice: Defend Iran or Lose Big?,87603,3996,https://www.youtube.com/@dialogueworks01
594yN8rxIJo,2025-04-03,Richard D. Wolff and Michael Hudson on Trump’s Trade Policies: A Fast Track to Economic Ruin,130037,4601,https://www.youtube.com/@dialogueworks01
oIJx9l6HqjA,2025-04-10,Richard D. Wolff and Michael Hudson: China Strikes Back as Trump Ignites New Tariff War!,128955,3973,https://www.youtube.com/@dialogueworks01
NGfr2Xu8qt4,2025-04-17,Richard D. Wolff: Trump and the Fall of the American Empire,95764,3614,https://www.youtube.com/@dialogueworks01
u6y2oUC4ROg,2025-04-19,Richard Wolff & Michael Hudson Unleash on Trump’s Trade Claims | Brutal Takedown,123904,1808,https://www.youtube.com/@dialogueworks01
4G98DeCZcT8,2025-04-24,Richard Wolff & Michael Hudson: Trump’s Trade War Collapse: How China Forced a U.S. Retreat,134507,3910,https://www.youtube.com/@dialogueworks01
NNHBd5t-rk0,2025-05-01,Richard Wolff and Michael Hudson: Is Trump Winning?,76556,4050,https://www.youtube.com/@dialogueworks01
dXno5aCo_LA,2025-05-08,Richard Wolff and Michael Hudson: Alarming Signs the American Empire Is Crumbling Before Our Eyes,96127,3451,https://www.youtube.com/@dialogueworks01
loxwfNQw17o,2025-05-29,"Richard Wolff & Michael Hudson: Adam Smith, Marx, and BRICS’ Struggle",65548,3775,https://www.youtube.com/@dialogueworks01
kbX527V0SS8,2025-06-05,Richard Wolff & Michael Hudson: EXPOSED: Why Sanctions on Russia Are Failing Miserably!,59110,3611,https://www.youtube.com/@dialogueworks01
2FKtZtjN_cA,2025-06-12,Richard Wolff & Michael Hudson: The Next War Could Shatter the U.S. Economy,52537,3600,https://www.youtube.com/@dialogueworks01
T2kjrVekTAo,2025-06-19,Richard Wolff & Michael Hudson: The U.S. Is Digging Its Own Grave with Iran — Here’s How!,134438,4095,https://www.youtube.com/@dialogueworks01
-fCOefH-Fnw,2025-06-26,Richard Wolff & Michael Hudson: Iran-Israel Tensions Flare – Mamdani BEATS Cuomo!,63187,3500,https://www.youtube.com/@dialogueworks01
